"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","evenness","celaantal"
"58",1e+08,1e+06,1e+08,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,1e+08,10000,1e+08,10000,1e+08,1e+08,0.666516612365869,606040000
"59",10000,1e+06,10000,1e+06,10000,1e+08,10000,10000,1e+06,1e+06,10000,1e+06,1e+06,10000,10000,10000,0.118077355933976,106090000
"60",1e+08,10000,1e+08,10000,10000,1e+06,10000,1e+06,10000,10000,1e+08,10000,10000,1e+08,10000,10000,0.510976176435404,402100000
"61",10000,1e+06,1e+08,1e+08,1e+06,10000,10000,10000,10000,10000,10000,1e+06,10000,1e+08,1e+08,10000,0.515878938287775,403090000
"62",1e+06,10000,1e+08,1e+06,1e+06,1e+06,1e+08,1e+08,10000,1e+06,10000,1e+06,1e+06,1e+08,10000,1e+06,0.540068023665638,408040000
"63",10000,1e+08,1e+06,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,10000,1e+08,1e+08,10000,10000,10000,0.520759846791132,404080000
"64",1e+08,1e+08,10000,10000,1e+08,10000,1e+06,1e+06,1e+06,1e+06,10000,10000,1e+06,1e+08,1e+08,10000,0.600951569323935,505060000
"65",1e+08,1e+06,1e+06,10000,1e+08,10000,10000,1e+06,10000,10000,1e+08,10000,1e+08,1e+08,10000,1e+06,0.597047762091655,504070000
"66",1e+08,1e+08,1e+08,1e+06,1e+06,10000,10000,1e+06,1e+08,1e+08,1e+08,10000,1e+06,1e+06,10000,1e+08,0.716393963590229,705040000
"67",1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+08,1e+06,1e+06,1e+08,1e+06,1e+06,10000,0.669759625974003,607030000
"68",10000,10000,1e+06,10000,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,1e+08,1e+06,10000,1e+06,1e+06,0.170176463360743,109060000
"69",1e+08,10000,10000,10000,10000,1e+06,1e+06,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,10000,10000,10000,0.319801494656443,207070000
"70",10000,10000,1e+08,1e+06,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+06,1e+08,1e+08,1e+08,1e+08,0.666516612365869,606040000
"71",1e+08,1e+08,1e+08,10000,1e+08,1e+08,1e+08,10000,10000,1e+08,10000,10000,1e+08,10000,1e+08,1e+08,0.830702967225737,1000060000
"72",1e+08,10000,1e+08,10000,10000,1e+06,10000,1e+08,1e+06,1e+06,1e+08,10000,10000,1e+08,10000,1e+08,0.656729496282341,603070000
"73",1e+06,1e+08,10000,1e+08,10000,10000,10000,10000,10000,1e+08,1e+08,10000,1e+08,10000,1e+08,10000,0.65015589386827,601090000
"74",1e+06,1e+08,1e+06,1e+08,1e+08,1e+08,1e+06,10000,1e+06,1e+06,1e+08,10000,10000,10000,1e+06,1e+08,0.666516612365869,606040000
"75",10000,10000,10000,10000,10000,1e+08,10000,1e+06,1e+08,1e+08,1e+06,1e+08,10000,1e+06,1e+06,1e+08,0.597047762091655,504070000
"76",1e+08,1e+08,10000,1e+06,1e+08,1e+06,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+08,1e+06,1e+06,10000,0.666516612365869,606040000
"77",1e+06,1e+06,10000,10000,10000,10000,10000,1e+08,1e+08,10000,10000,1e+06,10000,10000,1e+06,1e+06,0.301015595301137,205090000
"78",1e+08,1e+08,10000,10000,10000,1e+08,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+06,1e+08,1e+06,10000,0.713592013487095,704050000
"79",10000,10000,1e+08,1e+06,1e+06,1e+08,1e+08,10000,1e+06,1e+08,1e+06,10000,10000,10000,10000,1e+08,0.597047762091655,504070000
"80",10000,1e+06,10000,1e+06,1e+06,10000,1e+06,1e+08,1e+06,1e+06,10000,1e+06,10000,1e+06,1e+06,10000,0.170176463360743,109060000
"81",1e+06,10000,1e+06,1e+06,1e+08,1e+08,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+06,0.604841485382906,506050000
"82",10000,10000,1e+08,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,10000,1e+06,0.535272994059648,407050000
"83",1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,10000,1e+06,0.719188766013773,706030000
"84",10000,1e+06,10000,10000,1e+06,1e+06,1e+06,10000,1e+06,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+06,0.449465241312252,308050000
"85",10000,1e+08,1e+06,10000,10000,10000,1e+08,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+06,0.600951569323935,505060000
"86",1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,1e+08,10000,10000,10000,1e+06,1e+06,10000,10000,10000,1e+06,0.443144001025074,307060000
"87",1e+06,1e+06,1e+08,10000,10000,10000,10000,10000,1e+06,10000,1e+06,1e+06,10000,1e+08,1e+06,1e+06,0.319801494656443,207070000
"88",1e+08,1e+08,10000,1e+08,10000,10000,1e+08,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,1e+08,1e+08,0.710782886512574,703060000
"89",1e+08,1e+08,10000,1e+08,10000,10000,10000,10000,1e+08,1e+06,1e+08,10000,1e+06,10000,1e+06,1e+06,0.597047762091655,504070000
"90",1e+08,1e+06,10000,10000,10000,1e+06,10000,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,0.834664820486125,1002040000
"91",1e+06,1e+06,10000,1e+08,1e+08,10000,10000,1e+06,1e+08,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+06,0.535272994059648,407050000
"92",10000,1e+08,1e+08,10000,10000,10000,10000,10000,10000,1e+08,10000,10000,1e+08,10000,1e+06,1e+06,0.510976176435404,402100000
"93",1e+08,10000,10000,10000,1e+06,1e+06,10000,1e+08,1e+08,10000,10000,1e+08,1e+08,1e+08,1e+08,1e+08,0.755317791067496,802060000
"94",10000,1e+06,1e+06,1e+08,1e+08,1e+08,10000,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+08,10000,1e+06,0.663263950170227,605050000
"95",1e+08,1e+06,1e+08,10000,1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+06,10000,10000,10000,0.713592013487095,704050000
"96",10000,1e+06,1e+06,1e+06,10000,1e+08,10000,10000,10000,10000,10000,1e+08,1e+06,10000,1e+06,1e+08,0.430389776806991,305080000
"97",1e+08,1e+08,10000,1e+06,1e+06,1e+06,10000,1e+08,1e+08,10000,1e+06,1e+08,10000,10000,10000,10000,0.597047762091655,504070000
"98",1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,1e+08,1e+06,1e+08,10000,10000,1e+06,1e+06,1e+08,10000,0.604841485382906,506050000
"99",1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,1e+06,10000,1e+06,1e+06,1e+06,1e+08,10000,0.544841959879759,409030000
"100",1e+06,1e+06,1e+08,10000,1e+08,1e+06,1e+08,1e+08,10000,10000,1e+08,10000,1e+08,1e+06,10000,10000,0.660001593527544,604060000
"101",10000,10000,1e+06,1e+06,1e+06,1e+06,1e+06,1e+08,10000,1e+08,1e+06,1e+06,1e+08,10000,10000,1e+06,0.449465241312252,308050000
"102",1e+08,10000,1e+06,1e+06,1e+06,10000,10000,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,10000,1e+06,0.170176463360743,109060000
"103",10000,1e+06,1e+06,1e+08,1e+06,10000,1e+06,1e+06,1e+06,1e+08,10000,1e+06,10000,10000,1e+06,1e+06,0.338264200904051,209050000
"104",1e+08,1e+08,1e+08,1e+06,1e+08,1e+06,1e+08,1e+06,1e+08,1e+06,1e+08,10000,1e+08,10000,10000,10000,0.760245172329874,804040000
"105",10000,1e+06,1e+08,1e+06,10000,1e+08,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,10000,10000,1e+06,0.608717588935991,507040000
"106",10000,1e+08,1e+08,10000,1e+06,10000,10000,1e+08,1e+06,1e+08,10000,1e+06,10000,10000,1e+06,10000,0.520759846791132,404080000
"107",1e+06,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,10000,1e+08,1e+08,10000,1e+08,1e+08,1e+08,10000,0.604841485382906,506050000
"108",10000,1e+06,1e+08,10000,10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,0.612579958047937,508030000
"109",1e+06,1e+06,1e+08,10000,10000,1e+08,10000,1e+08,1e+06,1e+06,1e+06,1e+08,1e+08,1e+06,10000,10000,0.604841485382906,506050000
"110",1e+08,1e+06,1e+06,1e+08,10000,10000,1e+06,10000,1e+06,10000,1e+08,1e+08,1e+06,10000,1e+08,1e+06,0.604841485382906,506050000
"111",10000,10000,1e+08,10000,1e+06,10000,10000,1e+06,10000,1e+08,1e+06,1e+06,1e+06,1e+08,10000,1e+08,0.525619056871446,405070000
"112",10000,10000,1e+08,1e+06,1e+06,10000,10000,1e+06,10000,1e+08,1e+08,1e+06,1e+06,10000,1e+08,10000,0.525619056871446,405070000
"113",10000,1e+08,1e+08,1e+08,10000,1e+08,10000,1e+06,10000,10000,1e+06,1e+06,1e+08,10000,10000,1e+08,0.656729496282341,603070000
"114",1e+06,1e+06,1e+08,1e+08,1e+06,1e+06,1e+08,1e+08,1e+06,1e+06,1e+08,1e+08,10000,10000,10000,1e+06,0.669759625974003,607030000
"115",1e+08,1e+08,10000,1e+06,10000,10000,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+08,1e+06,10000,1e+06,0.663263950170227,605050000
"116",1e+08,1e+06,1e+08,10000,1e+06,10000,1e+06,10000,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,0.597047762091655,504070000
"117",10000,1e+08,10000,1e+08,10000,1e+06,10000,10000,10000,1e+08,1e+08,1e+06,1e+06,1e+06,1e+06,10000,0.525619056871446,405070000
"118",10000,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,0.757784244861084,803050000
"119",1e+08,1e+06,10000,1e+08,1e+06,10000,1e+06,1e+06,10000,1e+08,10000,1e+06,10000,10000,1e+06,1e+06,0.443144001025074,307060000
"120",1e+06,1e+06,1e+06,1e+06,1e+06,1e+08,10000,1e+06,1e+08,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,0.455749695019535,309040000
"121",1e+06,1e+06,1e+06,1e+06,10000,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,1e+06,10000,1e+08,1e+08,1e+06,0.468209600625341,311020000
"122",10000,1e+06,10000,10000,10000,1e+08,1e+06,1e+06,1e+06,1e+06,1e+06,10000,1e+08,10000,10000,10000,0.310449506494228,206080000
"123",1e+06,1e+06,10000,1e+08,10000,1e+08,10000,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+08,1e+08,10000,0.713592013487095,704050000
"124",1e+08,1e+08,10000,1e+08,10000,10000,1e+06,10000,10000,1e+06,1e+08,10000,10000,10000,1e+08,10000,0.589198156388854,502090000
"125",1e+06,1e+06,10000,1e+06,1e+06,10000,10000,1e+08,10000,1e+08,1e+06,10000,1e+08,1e+06,1e+06,1e+08,0.535272994059648,407050000
"126",1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+08,1e+06,1e+08,1e+08,1e+06,10000,10000,1e+06,10000,1e+06,0.666516612365869,606040000
"127",1e+06,10000,10000,10000,1e+06,1e+08,10000,1e+08,1e+08,1e+06,1e+08,1e+08,10000,1e+08,10000,10000,0.656729496282341,603070000
"128",1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,1e+08,1e+06,10000,10000,1e+08,1e+06,1e+06,1e+08,10000,1e+06,0.669759625974003,607030000
"129",1e+06,1e+08,1e+06,1e+08,1e+08,1e+08,10000,1e+08,1e+08,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,0.799362526046024,903040000
"130",10000,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,10000,1e+08,1e+06,1e+06,10000,1e+08,0.461997702694773,310030000
"131",1e+06,10000,1e+06,1e+06,1e+08,10000,1e+08,10000,1e+06,10000,1e+08,10000,1e+06,10000,1e+06,10000,0.436785629281519,306070000
"132",1e+06,10000,10000,10000,1e+08,1e+08,1e+08,1e+06,1e+06,1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,0.604841485382906,506050000
"133",1e+06,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+08,1e+06,1e+08,0.76515052705793,806020000
"134",1e+06,1e+06,10000,1e+06,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+06,10000,1e+08,0.540068023665638,408040000
"135",1e+08,10000,1e+08,10000,1e+08,10000,1e+08,1e+06,10000,10000,1e+06,1e+08,10000,1e+08,10000,10000,0.653447611980788,602080000
"136",1e+08,10000,1e+08,10000,1e+06,1e+08,1e+06,1e+08,1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,1e+06,10000,0.719188766013773,706030000
"137",1e+06,10000,10000,1e+08,10000,1e+08,1e+08,10000,1e+08,10000,1e+08,10000,1e+06,10000,1e+06,10000,0.593129984410108,503080000
"138",10000,1e+06,1e+08,1e+08,1e+06,1e+08,1e+06,10000,1e+06,1e+08,1e+06,1e+06,1e+06,10000,1e+06,10000,0.540068023665638,408040000
"139",1e+06,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,10000,1e+06,1e+08,1e+06,10000,10000,1e+08,1e+08,0.669759625974003,607030000
"140",1e+06,1e+06,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+06,10000,10000,1e+08,10000,10000,1e+08,1e+06,0.53045672196968,406060000
"141",1e+08,10000,1e+08,1e+08,1e+06,1e+06,1e+08,1e+08,10000,1e+06,1e+06,10000,10000,1e+08,1e+06,10000,0.663263950170227,605050000
"142",10000,10000,1e+08,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,1e+08,10000,1e+06,1e+06,1e+08,10000,0.666516612365869,606040000
"143",10000,1e+06,10000,1e+06,1e+08,10000,1e+06,10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,10000,0.535272994059648,407050000
"144",1e+06,1e+08,10000,1e+08,1e+06,1e+08,1e+06,1e+08,1e+08,10000,1e+08,1e+08,10000,10000,1e+08,10000,0.757784244861084,803050000
"145",10000,10000,1e+08,10000,1e+06,1e+08,1e+06,1e+06,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,1e+06,0.600951569323935,505060000
"146",1e+08,1e+06,10000,10000,10000,1e+08,1e+06,10000,10000,10000,10000,10000,1e+06,1e+08,10000,10000,0.417484210149728,303100000
"147",1e+06,10000,1e+08,1e+08,1e+08,1e+06,1e+06,1e+08,1e+06,1e+08,1e+06,10000,10000,1e+06,10000,1e+08,0.666516612365869,606040000
"148",1e+06,1e+08,10000,10000,1e+06,1e+06,10000,1e+06,10000,10000,10000,10000,1e+06,1e+06,1e+06,10000,0.135734108050258,107080000
"149",1e+08,1e+06,1e+08,1e+08,1e+06,10000,10000,10000,1e+08,10000,10000,1e+08,1e+08,10000,1e+06,1e+06,0.660001593527544,604060000
"150",1e+06,1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,10000,1e+08,1e+06,10000,1e+06,10000,1e+06,1e+08,10000,0.716393963590229,705040000
"151",1e+08,10000,10000,10000,10000,1e+06,1e+08,10000,1e+08,1e+06,10000,10000,1e+08,1e+08,1e+08,10000,0.653447611980788,602080000
"152",10000,1e+06,1e+06,1e+06,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+06,10000,1e+06,10000,1e+06,1e+08,0.540068023665638,408040000
"153",1e+06,1e+06,10000,1e+08,10000,10000,1e+06,1e+08,1e+08,1e+08,10000,1e+06,10000,10000,1e+06,10000,0.525619056871446,405070000
"154",1e+08,1e+06,1e+08,1e+06,10000,10000,1e+06,1e+08,10000,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+06,0.666516612365869,606040000
"155",1e+08,1e+06,1e+06,10000,1e+08,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,10000,10000,1e+06,1e+06,0.600951569323935,505060000
"156",1e+08,1e+08,1e+06,1e+06,1e+06,10000,10000,1e+06,1e+06,10000,1e+06,10000,1e+08,10000,1e+06,1e+06,0.449465241312252,308050000
"157",10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+06,10000,10000,10000,0.604841485382906,506050000
"158",10000,1e+06,1e+08,1e+08,10000,1e+08,10000,10000,1e+06,1e+06,1e+06,10000,1e+08,10000,1e+06,1e+06,0.53045672196968,406060000
"159",1e+06,10000,10000,1e+08,10000,1e+08,10000,1e+08,10000,1e+06,1e+06,1e+06,1e+06,1e+08,10000,10000,0.525619056871446,405070000
"160",10000,1e+08,1e+06,10000,1e+06,10000,1e+08,1e+08,10000,1e+08,1e+06,1e+06,1e+06,1e+08,10000,1e+06,0.604841485382906,506050000
"161",1e+06,1e+08,1e+06,10000,1e+08,1e+08,10000,10000,1e+08,10000,1e+08,1e+08,1e+08,1e+06,10000,1e+06,0.713592013487095,704050000
"162",1e+08,10000,1e+06,10000,1e+06,1e+06,10000,10000,1e+08,1e+06,10000,10000,1e+06,1e+08,10000,1e+06,0.436785629281519,306070000
"163",1e+08,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+08,10000,10000,10000,1e+08,10000,1e+06,10000,10000,0.660001593527544,604060000
"164",1e+08,1e+06,1e+06,10000,1e+06,10000,10000,10000,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+06,10000,0.436785629281519,306070000
"165",1e+08,1e+08,10000,10000,10000,1e+06,1e+08,1e+06,1e+06,1e+08,10000,1e+06,1e+06,10000,1e+08,1e+06,0.604841485382906,506050000
