full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name,loc_union
Escherichia sp. 3_2_53FAA,Escherichia,sp.,Escherichia sp.,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,469598.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/469598.5.npy
Streptococcus pneumoniae P1031,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,488223.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/488223.4.npy
Bacillus cereus Rock4-2,Bacillus,cereus,Bacillus cereus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526987.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/526987.3.npy
Helicobacter pylori J99,Helicobacter,pylori,Helicobacter pylori,chicken;feces;sediment;chemocline,4,85963.7.txt,data_organism_reactions/Equal_Stoichiometric_matrices/85963.7.npy
Roseobacter sp. AzwK-3b,Roseobacter,sp.,Roseobacter sp.,oil;ocean;sea;soil;sediment;fjord;water,7,351016.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/351016.3.npy
Helicobacter pylori J99,Helicobacter,pylori,Helicobacter pylori,chicken;feces;sediment;chemocline,4,85963.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/85963.1.npy
Subdoligranulum variabile DSM 15176,Subdoligranulum,variabile,Subdoligranulum variabile,feces,1,411471.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/411471.5.npy
Enterococcus faecalis T1,Enterococcus,faecalis,Enterococcus faecalis,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,565636.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/565636.4.npy
Borrelia hermsii DAH,Borrelia,hermsii,Borrelia hermsii,blood,1,314723.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/314723.3.npy
Borrelia hermsii DAH,Borrelia,hermsii,Borrelia hermsii,blood,1,314723.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/314723.4.npy
Sphingomonas sp. SKA58,Sphingomonas,sp.,Sphingomonas sp.,soil;field;mine;pond;reservoir;air;water;marsh;sludge;plateau;lake;mountain;sea;sand;sediment;biofilter;forest;rhizosphere;stream;textile;dust;cave;gut;clay;flat;permafrost;rock;waste,28,314266.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/314266.4.npy
Prochlorococcus marinus str. MIT 9312,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1,74546.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/74546.3.npy
Prochlorococcus marinus str. MIT 9312,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1,74546.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/74546.5.npy
Acinetobacter baumannii ATCC 17978,Acinetobacter,baumannii,Acinetobacter baumannii,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,400667.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/400667.4.npy
Acinetobacter baumannii ATCC 17978,Acinetobacter,baumannii,Acinetobacter baumannii,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,400667.7.txt,data_organism_reactions/Equal_Stoichiometric_matrices/400667.7.npy
Comamonas testosteroni KF-1,Comamonas,testosteroni,Comamonas testosteroni,biofilm;rhizosphere;sludge;soil;river;wetland;waste;oil;lake;spring;compost;forest,12,399795.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/399795.3.npy
Thiomonas intermedia K12,Thiomonas,intermedia,Thiomonas intermedia,mine;spring,2,75379.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/75379.3.npy
Thiomonas intermedia K12,Thiomonas,intermedia,Thiomonas intermedia,mine;spring,2,75379.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/75379.4.npy
Enterococcus faecium E1162,Enterococcus,faecium,Enterococcus faecium,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,535206.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/535206.4.npy
Phaeobacter gallaeciensis BS107,Phaeobacter,gallaeciensis,Phaeobacter gallaeciensis,biofilm;water;surface;sea,4,391619.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/391619.3.npy
Lactobacillus paracasei subsp. paracasei 8700:2,Lactobacillus,paracasei,Lactobacillus paracasei,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,537973.8.txt,data_organism_reactions/Equal_Stoichiometric_matrices/537973.8.npy
Streptococcus pneumoniae ATCC 700669,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,561276.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/561276.4.npy
Clostridium perfringens E str. JGS1987,Clostridium,perfringens,Clostridium perfringens,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,451755.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/451755.5.npy
Kangiella koreensis DSM 16069,Kangiella,koreensis,Kangiella koreensis,soil,1,523791.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/523791.5.npy
Agrobacterium radiobacter K84,Agrobacterium,radiobacter,Agrobacterium radiobacter,soil;rhizosphere;air;field;water;sandstone;forest;sewage;waste;wetland,10,311403.8.txt,data_organism_reactions/Equal_Stoichiometric_matrices/311403.8.npy
Escherichia coli O157:H7,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,83334.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/83334.1.npy
Janthinobacterium sp. Marseille,Janthinobacterium,sp.,Janthinobacterium sp.,soil;river;sea;water;coast;biofilm;air;plateau,8,375286.7.txt,data_organism_reactions/Equal_Stoichiometric_matrices/375286.7.npy
Janthinobacterium sp. Marseille,Janthinobacterium,sp.,Janthinobacterium sp.,soil;river;sea;water;coast;biofilm;air;plateau,8,375286.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/375286.6.npy
Francisella tularensis subsp. tularensis SCHU S4,Francisella,tularensis,Francisella tularensis,blood,1,177416.18.txt,data_organism_reactions/Equal_Stoichiometric_matrices/177416.18.npy
Bacillus cereus F65185,Bacillus,cereus,Bacillus cereus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526989.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/526989.3.npy
Geobacter lovleyi SZ,Geobacter,lovleyi,Geobacter lovleyi,pasture;harbor;rhizosphere;soil,4,398767.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/398767.5.npy
Streptococcus pneumoniae 23F,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,216600.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/216600.3.npy
Providencia alcalifaciens DSM 30120,Providencia,alcalifaciens,Providencia alcalifaciens,river;sludge;soil;waste,4,520999.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/520999.6.npy
Streptococcus salivarius SK126,Streptococcus,salivarius,Streptococcus salivarius,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,596322.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/596322.3.npy
Streptococcus sp. oral taxon 071 str. 73H25AP,Streptococcus,sp.,Streptococcus sp.,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,864570.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/864570.3.npy
Acinetobacter sp. 6013150,Acinetobacter,sp.,Acinetobacter sp.,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,525243.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/525243.3.npy
Alicycliphilus denitrificans BC,Alicycliphilus,denitrificans,Alicycliphilus denitrificans,sludge,1,596153.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/596153.3.npy
Brucella abortus bv. 1 str. 9-941,Brucella,abortus,Brucella abortus,sludge;soil,2,262698.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/262698.4.npy
Brucella abortus biovar 1 str. 9-941,Brucella,abortus,Brucella abortus,sludge;soil,2,262698.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/262698.3.npy
Escherichia coli 042,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,216592.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/216592.3.npy
Escherichia coli 042,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,216592.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/216592.1.npy
Staphylococcus epidermidis SK135,Staphylococcus,epidermidis,Staphylococcus epidermidis,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,596317.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/596317.3.npy
Dehalococcoides sp. CBDB1,Dehalococcoides,sp.,Dehalococcoides sp.,biofilm;sediment;aquifer;sludge;wetland,5,255470.8.txt,data_organism_reactions/Equal_Stoichiometric_matrices/255470.8.npy
Borrelia burgdorferi 72a,Borrelia,burgdorferi,Borrelia burgdorferi,blood,1,476211.11.txt,data_organism_reactions/Equal_Stoichiometric_matrices/476211.11.npy
Salmonella typhimurium LT2,Salmonella,typhimurium,Salmonella typhimurium,rhizosphere,1,99287.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/99287.1.npy
Porphyromonas endodontalis ATCC 35406,Porphyromonas,endodontalis,Porphyromonas endodontalis,mouth;biofilm,2,553175.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/553175.3.npy
Haemophilus influenzae Rd KW20,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,71421.8.txt,data_organism_reactions/Equal_Stoichiometric_matrices/71421.8.npy
Haemophilus influenzae Rd KW20,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,71421.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/71421.1.npy
Lactobacillus jensenii 27-2-CHN,Lactobacillus,jensenii,Lactobacillus jensenii,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,575606.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/575606.3.npy
Enterococcus faecium TX0133C,Enterococcus,faecium,Enterococcus faecium,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,749525.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/749525.3.npy
Dehalococcoides sp. BAV1,Dehalococcoides,sp.,Dehalococcoides sp.,biofilm;sediment;aquifer;sludge;wetland,5,216389.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/216389.5.npy
Sphingopyxis alaskensis RB2256,Sphingopyxis,alaskensis,Sphingopyxis alaskensis,field;soil;sludge;biofilm;plateau;rhizosphere;lake;grassland;elevation,9,317655.17.txt,data_organism_reactions/Equal_Stoichiometric_matrices/317655.17.npy
Rhodococcus erythropolis SK121,Rhodococcus,erythropolis,Rhodococcus erythropolis,soil;sludge;compost;field;air;sea;wetland;mountain;forest;gut;river;sediment;permafrost;beer;mucus;mine;rhizosphere;aquifer;biofilter;rock;ocean,21,596309.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/596309.3.npy
Roseovarius nubinhibens ISM,Roseovarius,nubinhibens,Roseovarius nubinhibens,ocean;sea;sediment;oyster;mud,5,89187.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/89187.6.npy
Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/504728.4.npy
Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/504728.5.npy
Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/504728.6.npy
Roseovarius nubinhibens ISM,Roseovarius,nubinhibens,Roseovarius nubinhibens,ocean;sea;sediment;oyster;mud,5,89187.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/89187.3.npy
Lactobacillus vaginalis ATCC 49540,Lactobacillus,vaginalis,Lactobacillus vaginalis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,525366.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/525366.3.npy
Burkholderia pseudomallei Pasteur 52237,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331978.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/331978.4.npy
Burkholderia pseudomallei Pasteur,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331978.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/331978.3.npy
Clostridium botulinum Ba4 str. 657,Clostridium,botulinum,Clostridium botulinum,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,515621.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/515621.3.npy
Lactobacillus brevis ATCC 367,Lactobacillus,brevis,Lactobacillus brevis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,387344.13.txt,data_organism_reactions/Equal_Stoichiometric_matrices/387344.13.npy
Lactobacillus brevis ATCC 367,Lactobacillus,brevis,Lactobacillus brevis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,387344.15.txt,data_organism_reactions/Equal_Stoichiometric_matrices/387344.15.npy
Neisseria cinerea ATCC 14685,Neisseria,cinerea,Neisseria cinerea,water;biofilm;air;mouth,4,546262.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/546262.4.npy
Burkholderia pseudomallei 1655,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331109.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/331109.3.npy
Escherichia coli B171,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,344601.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/344601.5.npy
Escherichia coli B171,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,344601.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/344601.3.npy
Bacteroides sp. 3_1_40A,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8,469593.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/469593.3.npy
Mesoplasma florum L1,Mesoplasma,florum,Mesoplasma florum,gut,1,265311.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/265311.5.npy
Mesoplasma florum L1,Mesoplasma,florum,Mesoplasma florum,gut,1,265311.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/265311.3.npy
Lactobacillus iners ATCC 55195,Lactobacillus,iners,Lactobacillus iners,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,888801.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/888801.3.npy
Spirochaeta thermophila DSM 6192,Spirochaeta,thermophila,Spirochaeta thermophila,gut;mine;sediment;lake;field;sea,6,665571.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/665571.4.npy
Thermus aquaticus Y51MC23,Thermus,aquaticus,Thermus aquaticus,spring;compost;hotspring;soil;surface;ocean;water;field,8,498848.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/498848.5.npy
Desulfitobacterium hafniense DCB-2,Desulfitobacterium,hafniense,Desulfitobacterium hafniense,mine;soil,2,272564.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/272564.6.npy
Shigella dysenteriae 1617,Shigella,dysenteriae,Shigella dysenteriae,gut;soil;river;reservoir;marsh,5,754093.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/754093.3.npy
Desulfitobacterium hafniense DCB-2,Desulfitobacterium,hafniense,Desulfitobacterium hafniense,mine;soil,2,272564.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/272564.4.npy
Lactococcus lactis subsp. lactis KF147,Lactococcus,lactis,Lactococcus lactis,milk;biofilm;food;air;mucus;gut;cheese;meat;marsh;foam,10,684738.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/684738.3.npy
Escherichia coli E24377A,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,331111.12.txt,data_organism_reactions/Equal_Stoichiometric_matrices/331111.12.npy
Haemophilus influenzae 22.1-21,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,374927.4.txt,data_organism_reactions/Equal_Stoichiometric_matrices/374927.4.npy
Pseudomonas fluorescens Pf0-1,Pseudomonas,fluorescens,Pseudomonas fluorescens,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58,205922.5.txt,data_organism_reactions/Equal_Stoichiometric_matrices/205922.5.npy
Streptococcus pyogenes MGAS315,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,198466.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/198466.1.npy
Streptococcus pyogenes MGAS315,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,198466.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/198466.3.npy
Lactobacillus crispatus ST1,Lactobacillus,crispatus,Lactobacillus crispatus,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,748671.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/748671.3.npy
Vibrio parahaemolyticus RIMD 2210633,Vibrio,parahaemolyticus,Vibrio parahaemolyticus,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,223926.6.txt,data_organism_reactions/Equal_Stoichiometric_matrices/223926.6.npy
Vibrio parahaemolyticus RIMD 2210633,Vibrio,parahaemolyticus,Vibrio parahaemolyticus,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,223926.1.txt,data_organism_reactions/Equal_Stoichiometric_matrices/223926.1.npy
Brucella abortus bv. 6 str. 870,Brucella,abortus,Brucella abortus,sludge;soil,2,520454.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/520454.3.npy
Haemophilus influenzae 10810,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,862964.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/862964.3.npy
unidentified eubacterium SCB49,unidentified,eubacterium,unidentified eubacterium,sludge;lake;gut;spring;trench;ocean;water;bed;soil;sea,10,50743.3.txt,data_organism_reactions/Equal_Stoichiometric_matrices/50743.3.npy
